Code	Cipher	Cipher Suite
C030	ECDHE-RSA-AES256-GCM-SHA384	TLSv1.2
C02C	ECDHE-ECDSA-AES256-GCM-SHA384	TLSv1.2
C028	ECDHE-RSA-AES256-SHA384	TLSv1.2
C024	ECDHE-ECDSA-AES256-SHA384	TLSv1.2
C014	ECDHE-RSA-AES256-SHA	SSLv3
C00A	ECDHE-ECDSA-AES256-SHA	SSLv3
C022	SRP-DSS-AES-256-CBC-SHA	SSLv3
C021	SRP-RSA-AES-256-CBC-SHA	SSLv3
C020	SRP-AES-256-CBC-SHA	SSLv3
00A5	DH-DSS-AES256-GCM-SHA384	TLSv1.2
00A3	DHE-DSS-AES256-GCM-SHA384	TLSv1.2
00A1	DH-RSA-AES256-GCM-SHA384	TLSv1.2
009F	DHE-RSA-AES256-GCM-SHA384	TLSv1.2
006B	DHE-RSA-AES256-SHA256	TLSv1.2
006A	DHE-DSS-AES256-SHA256	TLSv1.2
0069	DH-RSA-AES256-SHA256	TLSv1.2
0068	DH-DSS-AES256-SHA256	TLSv1.2
0039	DHE-RSA-AES256-SHA	SSLv3
0038	DHE-DSS-AES256-SHA	SSLv3
0037	DH-RSA-AES256-SHA	SSLv3
0036	DH-DSS-AES256-SHA	SSLv3
0088	DHE-RSA-CAMELLIA256-SHA	SSLv3
0087	DHE-DSS-CAMELLIA256-SHA	SSLv3
0086	DH-RSA-CAMELLIA256-SHA	SSLv3
0085	DH-DSS-CAMELLIA256-SHA	SSLv3
C019	AECDH-AES256-SHA	SSLv3
00A7	ADH-AES256-GCM-SHA384	TLSv1.2
006D	ADH-AES256-SHA256	TLSv1.2
003A	ADH-AES256-SHA	SSLv3
0089	ADH-CAMELLIA256-SHA	SSLv3
C032	ECDH-RSA-AES256-GCM-SHA384	TLSv1.2
C02E	ECDH-ECDSA-AES256-GCM-SHA384	TLSv1.2
C02A	ECDH-RSA-AES256-SHA384	TLSv1.2
C026	ECDH-ECDSA-AES256-SHA384	TLSv1.2
C00F	ECDH-RSA-AES256-SHA	SSLv3
C005	ECDH-ECDSA-AES256-SHA	SSLv3
009D	AES256-GCM-SHA384	TLSv1.2
003D	AES256-SHA256	TLSv1.2
0035	AES256-SHA	SSLv3
0084	CAMELLIA256-SHA	SSLv3
008D	PSK-AES256-CBC-SHA	SSLv3
C02F	ECDHE-RSA-AES128-GCM-SHA256	TLSv1.2
C02B	ECDHE-ECDSA-AES128-GCM-SHA256	TLSv1.2
C027	ECDHE-RSA-AES128-SHA256	TLSv1.2
C023	ECDHE-ECDSA-AES128-SHA256	TLSv1.2
C013	ECDHE-RSA-AES128-SHA	SSLv3
C009	ECDHE-ECDSA-AES128-SHA	SSLv3
C01F	SRP-DSS-AES-128-CBC-SHA	SSLv3
C01E	SRP-RSA-AES-128-CBC-SHA	SSLv3
C01D	SRP-AES-128-CBC-SHA	SSLv3
00A4	DH-DSS-AES128-GCM-SHA256	TLSv1.2
00A2	DHE-DSS-AES128-GCM-SHA256	TLSv1.2
00A0	DH-RSA-AES128-GCM-SHA256	TLSv1.2
009E	DHE-RSA-AES128-GCM-SHA256	TLSv1.2
0067	DHE-RSA-AES128-SHA256	TLSv1.2
0040	DHE-DSS-AES128-SHA256	TLSv1.2
003F	DH-RSA-AES128-SHA256	TLSv1.2
003E	DH-DSS-AES128-SHA256	TLSv1.2
0033	DHE-RSA-AES128-SHA	SSLv3
0032	DHE-DSS-AES128-SHA	SSLv3
0031	DH-RSA-AES128-SHA	SSLv3
0030	DH-DSS-AES128-SHA	SSLv3
009A	DHE-RSA-SEED-SHA	SSLv3
0099	DHE-DSS-SEED-SHA	SSLv3
0098	DH-RSA-SEED-SHA	SSLv3
0097	DH-DSS-SEED-SHA	SSLv3
0045	DHE-RSA-CAMELLIA128-SHA	SSLv3
0044	DHE-DSS-CAMELLIA128-SHA	SSLv3
0043	DH-RSA-CAMELLIA128-SHA	SSLv3
0042	DH-DSS-CAMELLIA128-SHA	SSLv3
C018	AECDH-AES128-SHA	SSLv3
00A6	ADH-AES128-GCM-SHA256	TLSv1.2
006C	ADH-AES128-SHA256	TLSv1.2
0034	ADH-AES128-SHA	SSLv3
009B	ADH-SEED-SHA	SSLv3
0046	ADH-CAMELLIA128-SHA	SSLv3
C031	ECDH-RSA-AES128-GCM-SHA256	TLSv1.2
C02D	ECDH-ECDSA-AES128-GCM-SHA256	TLSv1.2
C029	ECDH-RSA-AES128-SHA256	TLSv1.2
C025	ECDH-ECDSA-AES128-SHA256	TLSv1.2
C00E	ECDH-RSA-AES128-SHA	SSLv3
C004	ECDH-ECDSA-AES128-SHA	SSLv3
009C	AES128-GCM-SHA256	TLSv1.2
003C	AES128-SHA256	TLSv1.2
002F	AES128-SHA	SSLv3
0096	SEED-SHA	SSLv3
0041	CAMELLIA128-SHA	SSLv3
008C	PSK-AES128-CBC-SHA	SSLv3
C011	ECDHE-RSA-RC4-SHA	SSLv3
C007	ECDHE-ECDSA-RC4-SHA	SSLv3
C016	AECDH-RC4-SHA	SSLv3
0018	ADH-RC4-MD5	SSLv3
C00C	ECDH-RSA-RC4-SHA	SSLv3
C002	ECDH-ECDSA-RC4-SHA	SSLv3
0005	RC4-SHA	SSLv3
0004	RC4-MD5	SSLv3
008A	PSK-RC4-SHA	SSLv3
C012	ECDHE-RSA-DES-CBC3-SHA	SSLv3
C008	ECDHE-ECDSA-DES-CBC3-SHA	SSLv3
C01C	SRP-DSS-3DES-EDE-CBC-SHA	SSLv3
C01B	SRP-RSA-3DES-EDE-CBC-SHA	SSLv3
C01A	SRP-3DES-EDE-CBC-SHA	SSLv3
0016	EDH-RSA-DES-CBC3-SHA	SSLv3
0013	EDH-DSS-DES-CBC3-SHA	SSLv3
0010	DH-RSA-DES-CBC3-SHA	SSLv3
000D	DH-DSS-DES-CBC3-SHA	SSLv3
C017	AECDH-DES-CBC3-SHA	SSLv3
001B	ADH-DES-CBC3-SHA	SSLv3
C00D	ECDH-RSA-DES-CBC3-SHA	SSLv3
C003	ECDH-ECDSA-DES-CBC3-SHA	SSLv3
000A	DES-CBC3-SHA	SSLv3
008B	PSK-3DES-EDE-CBC-SHA	SSLv3
C010	ECDHE-RSA-NULL-SHA	SSLv3
C006	ECDHE-ECDSA-NULL-SHA	SSLv3
C015	AECDH-NULL-SHA	SSLv3
C00B	ECDH-RSA-NULL-SHA	SSLv3
C001	ECDH-ECDSA-NULL-SHA	SSLv3
003B	NULL-SHA256	TLSv1.2
0002	NULL-SHA	SSLv3
0001	NULL-MD5	SSLv3
